target_id1	target_id2	similarity_score	year
2000_tarov102852	2000_tarov103907	0.154230	2000
2000_tarov102852	2000_tarov104623	0.203784	2000
2000_tarov102852	2000_tarov106951	0.216316	2000
2000_tarov102852	2000_tarov108278	0.174397	2000
2000_tarov102852	2000_tarov109179	0.607952	2000
2000_tarov102852	2000_tarov109218	0.373150	2000
2000_tarov102852	2000_tarov109395	0.349360	2000
2000_tarov102852	2000_tarov127334	0.419975	2000
2000_tarov102852	2000_tarov127514	0.318304	2000
2000_tarov102852	2000_tarov127870	0.117880	2000
2000_tarov102852	2000_tarov128173	0.006337	2000
2000_tarov102852	2000_tarov128316	0.165457	2000
2000_tarov102852	2000_tarov128336	0.164255	2000
2000_tarov102852	2000_tarov128450	0.326634	2000
2000_tarov102852	2000_tarov128768	0.163925	2000
2000_tarov102852	2000_tarov129069	0.085612	2000
2000_tarov102852	2000_tarov129461	0.121102	2000
2000_tarov102852	2000_tarov135337	-0.036147	2000
2000_tarov102852	2000_tarov140036	0.135189	2000
2000_tarov102852	2000_tarov185073	0.200838	2000
2000_tarov102852	2000_tarov185096	0.293217	2000
2000_tarov102852	2000_tarov185613	0.086017	2000
2000_tarov102852	2000_tarov185657	0.268079	2000
2000_tarov102852	2000_tarov186147	-0.054201	2000
2000_tarov102852	2000_tarov186533	0.142836	2000
2000_tarov102852	2000_tarov186840	0.122773	2000
2000_tarov102852	2000_tarov186983	0.065430	2000
2000_tarov102852	2000_tarov187160	0.354279	2000
2000_tarov102852	2000_tarov187207	0.362495	2000
2000_tarov102852	2000_tarov187225	0.284875	2000
2000_tarov102852	2000_tarov187238	0.405909	2000
2000_tarov102852	2000_tarov187243	0.220952	2000
2000_tarov102852	2000_tarov187416	-0.049110	2000
2000_tarov102852	2000_tarov187805	0.139148	2000
2000_tarov102852	2000_tarov188373	0.286301	2000
2000_tarov102852	2000_tarov188425	0.284519	2000
2000_tarov102852	2000_tarov189038	0.050336	2000
2000_tarov102852	2000_tarov189226	0.285982	2000
2000_tarov102852	2000_tarov189281	0.283955	2000
2000_tarov102852	2000_tarov189784	0.347055	2000
2000_tarov102852	2000_tarov189826	0.371241	2000
2000_tarov102852	2000_tarov190332	0.230752	2000
2000_tarov102852	2000_tarov190937	0.374657	2000
2000_tarov102852	2000_tarov191736	0.318753	2000
2000_tarov102852	2000_tarov193258	0.288158	2000
2000_tarov102852	2000_tarov202212	0.276696	2000
2000_tarov102852	2000_tarov203267	0.379190	2000
2000_tarov102852	2000_tarov209030	0.241611	2000
2000_tarov102852	2000_tarov251610	0.209673	2000
2000_tarov102852	2000_tarov309754	0.321936	2000
2000_tarov102852	2000_tarov323546	0.157507	2000
2000_tarov102852	2000_tarov323913	0.451883	2000
2000_tarov102852	2000_tarov326723	0.267399	2000
2000_tarov102852	2000_tarov332115	0.589956	2000
2000_tarov102852	2000_tarov348921	0.380858	2000
2000_tarov102852	2000_tarov390775	0.524845	2000
2000_tarov102852	2000_tarov401691	0.154093	2000
2000_tarov102852	2000_tarov412649	0.294406	2000
2000_tarov102852	2000_tarov55055	0.450744	2000
2000_tarov102852	2000_tarov55271	0.160401	2000
2000_tarov102852	2000_tarov55572	0.186966	2000
2000_tarov102852	2000_tarov56006	0.374536	2000
2000_tarov102852	2000_tarov56049	0.260685	2000
2000_tarov102852	2000_tarov56216	0.381815	2000
2000_tarov102852	2000_tarov56446	0.276618	2000
2000_tarov102852	2000_tarov56456	0.306143	2000
2000_tarov102852	2000_tarov56919	0.000737	2000
2000_tarov102852	2000_tarov57325	0.324524	2000
2000_tarov102852	2000_tarov57465	0.148084	2000
2000_tarov102852	2000_tarov57561	0.403437	2000
2000_tarov102852	2000_tarov57590	-0.056112	2000
2000_tarov102852	2000_tarov57771	0.408443	2000
2000_tarov102852	2000_tarov57805	0.050453	2000
2000_tarov102852	2000_tarov57835	0.329993	2000
2000_tarov102852	2000_tarov57975	0.219755	2000
2000_tarov102852	2000_tarov58108	0.204649	2000
2000_tarov102852	2000_tarov58118	0.109019	2000
2000_tarov102852	2000_tarov58190	0.624600	2000
2000_tarov102852	2000_tarov58540	0.508983	2000
2000_tarov102852	2000_tarov58671	0.378741	2000
2000_tarov102852	2000_tarov58716	0.665576	2000
2000_tarov102852	2000_tarov59123	0.299872	2000
2000_tarov102852	2000_tarov59176	0.191105	2000
2000_tarov102852	2000_tarov59185	0.395594	2000
2000_tarov102852	2000_tarov59424	0.251379	2000
2000_tarov102852	2000_tarov59480	0.231731	2000
2000_tarov102852	2000_tarov59598	0.370320	2000
2000_tarov102852	2000_tarov59615	0.702367	2000
2000_tarov102852	2000_tarov59853	0.202911	2000
2000_tarov102852	2000_tarov59874	0.240885	2000
2000_tarov102852	2000_tarov60133	0.215976	2000
2000_tarov102852	2000_tarov60207	0.581784	2000
2000_tarov102852	2000_tarov60215	0.268765	2000
2000_tarov102852	2000_tarov60347	0.523863	2000
2000_tarov102852	2000_tarov60422	0.187301	2000
2000_tarov102852	2000_tarov60631	0.415283	2000
2000_tarov102852	2000_tarov61015	0.201042	2000
2000_tarov102852	2000_tarov61021	0.154997	2000
2000_tarov102852	2000_tarov61027	0.004741	2000
2000_tarov102852	2000_tarov61059	0.565530	2000
2000_tarov102852	2000_tarov61262	0.465921	2000
2000_tarov102852	2000_tarov61357	0.169561	2000
2000_tarov102852	2000_tarov61433	0.221950	2000
2000_tarov102852	2000_tarov61508	0.586653	2000
2000_tarov102852	2000_tarov61939	0.431429	2000
2000_tarov102852	2000_tarov62008	0.353950	2000
2000_tarov102852	2000_tarov62012	0.568570	2000
2000_tarov102852	2000_tarov62050	0.246747	2000
2000_tarov102852	2000_tarov62185	0.295126	2000
2000_tarov102852	2000_tarov62193	0.094318	2000
2000_tarov102852	2000_tarov62309	0.041353	2000
2000_tarov102852	2000_tarov62326	0.107458	2000
2000_tarov102852	2000_tarov62359	0.513624	2000
2000_tarov102852	2000_tarov62473	0.600586	2000
2000_tarov102852	2000_tarov62528	0.168988	2000
2000_tarov102852	2000_tarov62630	0.362726	2000
2000_tarov102852	2000_tarov62631	0.381175	2000
2000_tarov102852	2000_tarov62761	0.257176	2000
2000_tarov102852	2000_tarov62793	0.263129	2000
2000_tarov102852	2000_tarov62917	0.231484	2000
2000_tarov102852	2000_tarov62941	0.120997	2000
2000_tarov102852	2000_tarov63559	0.261328	2000
2000_tarov102852	2000_tarov63613	0.398679	2000
2000_tarov102852	2000_tarov63755	0.256156	2000
2000_tarov102852	2000_tarov63774	0.172127	2000
2000_tarov102852	2000_tarov63776	0.108374	2000
2000_tarov102852	2000_tarov63992	0.068083	2000
2000_tarov102852	2000_tarov64135	0.244034	2000
2000_tarov102852	2000_tarov64162	0.510413	2000
2000_tarov102852	2000_tarov64317	0.105938	2000
2000_tarov102852	2000_tarov64448	0.285551	2000
2000_tarov102852	2000_tarov64589	0.177229	2000
2000_tarov102852	2000_tarov64729	0.689739	2000
2000_tarov102852	2000_tarov64880	0.207030	2000
2000_tarov102852	2000_tarov64965	0.277367	2000
2000_tarov102852	2000_tarov65123	0.129753	2000
2000_tarov102852	2000_tarov65210	0.282702	2000
2000_tarov102852	2000_tarov65412	0.503478	2000
2000_tarov102852	2000_tarov65492	0.432856	2000
2000_tarov102852	2000_tarov65860	0.473134	2000
2000_tarov102852	2000_tarov65863	0.369105	2000
2000_tarov102852	2000_tarov65883	0.153786	2000
2000_tarov102852	2000_tarov65951	0.308675	2000
2000_tarov102852	2000_tarov66008	0.191573	2000
2000_tarov102852	2000_tarov66036	0.121044	2000
2000_tarov102852	2000_tarov66220	0.508181	2000
2000_tarov102852	2000_tarov66305	0.352558	2000
2000_tarov102852	2000_tarov66648	0.358484	2000
2000_tarov102852	2000_tarov66858	0.268917	2000
2000_tarov102852	2000_tarov66888	0.200932	2000
2000_tarov102852	2000_tarov66997	0.558632	2000
2000_tarov102852	2000_tarov67003	0.291516	2000
2000_tarov102852	2000_tarov67019	0.227430	2000
2000_tarov102852	2000_tarov67112	0.530689	2000
2000_tarov102852	2000_tarov67157	0.608747	2000
2000_tarov102852	2000_tarov67186	0.282880	2000
2000_tarov102852	2000_tarov67200	0.304039	2000
2000_tarov102852	2000_tarov67206	0.548485	2000
2000_tarov102852	2000_tarov67248	0.399862	2000
2000_tarov102852	2000_tarov67371	0.283909	2000
