source,target,similarity
1998_tarov103993,1998_tarov104665,0.29387520300565867
1998_tarov103993,1998_tarov104990,0.3121988364151538
1998_tarov103993,1998_tarov105660,0.36529750313300374
1998_tarov103993,1998_tarov105739,0.1634014740411334
1998_tarov103993,1998_tarov105969,0.12065379433217115
1998_tarov103993,1998_tarov105979,0.18542080691747198
1998_tarov103993,1998_tarov106227,0.16015553315961828
1998_tarov103993,1998_tarov106487,0.12111342949883515
1998_tarov103993,1998_tarov107355,0.10680115013983493
1998_tarov103993,1998_tarov107968,0.1792874929911198
1998_tarov103993,1998_tarov108373,0.13098420799889596
1998_tarov103993,1998_tarov108863,0.10142032166076514
1998_tarov103993,1998_tarov109045,0.1825741858350554
1998_tarov103993,1998_tarov109430,0.10801609559745541
1998_tarov103993,1998_tarov109441,0.1521304824911477
1998_tarov103993,1998_tarov109486,0.1553471274761235
1998_tarov103993,1998_tarov110736,0.12561705772469717
1998_tarov103993,1998_tarov110866,0.12179575499040339
1998_tarov103993,1998_tarov111364,0.21354071087949109
1998_tarov103993,1998_tarov112527,0.11750399798510547
1998_tarov103993,1998_tarov112532,0.11750399798510547
1998_tarov103993,1998_tarov112541,0.11750399798510547
1998_tarov103993,1998_tarov141893,0.14861694290297914
1998_tarov103993,1998_tarov159057,0.13069452638811946
1998_tarov103993,1998_tarov161590,0.1750350105035012
1998_tarov103993,1998_tarov162083,0.2030256325467739
1998_tarov103993,1998_tarov163753,0.11872735884359921
1998_tarov103993,1998_tarov172442,0.10801609559745541
1998_tarov103993,1998_tarov178359,0.14668912021103075
1998_tarov103993,1998_tarov182693,0.13137346356134702
1998_tarov103993,1998_tarov190496,0.21736562467088952
1998_tarov103993,1998_tarov228665,0.1825741858350554
1998_tarov103993,1998_tarov229192,0.1257656291045065
1998_tarov103993,1998_tarov33853,0.10188534162169864
1998_tarov103993,1998_tarov34482,0.10269077187576109
1998_tarov103993,1998_tarov34719,0.15797289868880235
1998_tarov103993,1998_tarov35003,0.3170961622095042
1998_tarov103993,1998_tarov35100,0.13793270806795685
1998_tarov103993,1998_tarov36377,0.1726978905589434
1998_tarov103993,1998_tarov36474,0.11433239009500588
1998_tarov103993,1998_tarov36721,0.11283778477771596
1998_tarov103993,1998_tarov36724,0.17245668525174984
1998_tarov103993,1998_tarov36916,0.116994019693839
1998_tarov103993,1998_tarov36927,0.1847607809702561
1998_tarov103993,1998_tarov37395,0.1458407513661945
1998_tarov103993,1998_tarov38707,0.11421980278055407
1998_tarov103993,1998_tarov39343,0.10200939541368718
1998_tarov103993,1998_tarov39762,0.17645263142138493
1998_tarov103993,1998_tarov40312,0.13419902258999183
1998_tarov103993,1998_tarov40392,0.12815484182225428
1998_tarov103993,1998_tarov42214,0.21835636802268593
1998_tarov103993,1998_tarov47954,0.24630840726420855
1998_tarov103993,1998_tarov60774,0.13836236534601506
1998_tarov103993,1998_tarov60781,0.1681681984990781
1998_tarov103993,1998_tarov61147,0.22687130324325766
1998_tarov103993,1998_tarov67232,0.11881770515720093
1998_tarov103993,1998_tarov67583,0.16568337391590288
1998_tarov103993,1998_tarov89661,0.15753150945315111
1998_tarov103993,1998_tarov89749,0.5401080324108037
1998_tarov103993,1998_tarov90357,0.1129192855357434
1998_tarov103993,1998_tarov92057,0.11705183734979913
1998_tarov103993,1998_tarov92065,0.15035521186416326
1998_tarov104665,1998_tarov104990,0.1566670418943522
1998_tarov104665,1998_tarov105660,0.18994709822696418
1998_tarov104665,1998_tarov105739,0.12026347678706226
1998_tarov104665,1998_tarov105969,0.11993926507518558
1998_tarov104665,1998_tarov105979,0.16128237827183395
1998_tarov104665,1998_tarov106227,0.11430251099085133
1998_tarov104665,1998_tarov106487,0.11113493373763884
1998_tarov104665,1998_tarov107235,0.12492194816597692
1998_tarov104665,1998_tarov107355,0.13512374686298534
1998_tarov104665,1998_tarov107968,0.21112893751370038
1998_tarov104665,1998_tarov108373,0.13020850053493813
1998_tarov104665,1998_tarov109045,0.18395666031726773
1998_tarov104665,1998_tarov109430,0.12527247672802436
1998_tarov104665,1998_tarov109441,0.14929070342064849
1998_tarov104665,1998_tarov109486,0.15591201561113693
1998_tarov104665,1998_tarov110736,0.11378972092658472
1998_tarov104665,1998_tarov111364,0.18288401758536213
1998_tarov104665,1998_tarov112527,0.11611694995742751
1998_tarov104665,1998_tarov112532,0.11611694995742751
1998_tarov104665,1998_tarov112541,0.11611694995742751
1998_tarov104665,1998_tarov141893,0.15910118196788303
1998_tarov104665,1998_tarov161590,0.16239853261577
1998_tarov104665,1998_tarov162083,0.1811234611893931
1998_tarov104665,1998_tarov163753,0.10467308004746524
1998_tarov104665,1998_tarov172442,0.12527247672802436
1998_tarov104665,1998_tarov178359,0.15703736028697463
1998_tarov104665,1998_tarov190496,0.2094297892011697
