year,source_target,neighbor_target,similarity_score,rank
2011,2011_tarov1601033210,2011_tarov1601309291,0.680086612701416,1
2011,2011_tarov1601033210,2011_tarov1633045001,0.5781998038291931,2
2011,2011_tarov1601033210,2011_tarov1633052128,0.5631015300750732,3
2011,2011_tarov1601033210,2011_tarov1633039588,0.5311795473098755,4
2011,2011_tarov1601033210,2011_tarov1633039584,0.5205021500587463,5
2011,2011_tarov1601033210,2011_tarov1601326739,0.5033925771713257,6
2011,2011_tarov1601033210,2011_tarov1601105169,0.49918296933174133,7
2011,2011_tarov1601033210,2011_tarov1633044069,0.47416698932647705,8
2011,2011_tarov1601033210,2011_tarov1941187513,0.4620465636253357,9
2011,2011_tarov1601033210,2011_tarov1633037848,0.45457807183265686,10
2011,2011_tarov1601035938,2011_tarov1633054754,0.5613338947296143,1
2011,2011_tarov1601035938,2011_tarov1601247410,0.47323378920555115,2
2011,2011_tarov1601035938,2011_tarov1601033210,0.43743473291397095,3
2011,2011_tarov1601035938,2011_tarov1601290405,0.4108833968639374,4
2011,2011_tarov1601035938,2011_tarov1601262736,0.40786314010620117,5
2011,2011_tarov1601035938,2011_tarov1601326765,0.4070572853088379,6
2011,2011_tarov1601035938,2011_tarov1601256575,0.401949018239975,7
2011,2011_tarov1601035938,2011_tarov1601268477,0.3985483944416046,8
2011,2011_tarov1601035938,2011_tarov1633036820,0.3920555114746094,9
2011,2011_tarov1601035938,2011_tarov1633024474,0.3771166205406189,10
2011,2011_tarov1601040123,2011_tarov1633019810,0.5584762692451477,1
2011,2011_tarov1601040123,2011_tarov1601347939,0.5569114089012146,2
2011,2011_tarov1601040123,2011_tarov1601296642,0.5539252161979675,3
2011,2011_tarov1601040123,2011_tarov1601265670,0.44582894444465637,4
2011,2011_tarov1601040123,2011_tarov1601292483,0.4386594891548157,5
2011,2011_tarov1601040123,2011_tarov1633072115,0.4296519458293915,6
2011,2011_tarov1601040123,2011_tarov1601280864,0.42072179913520813,7
2011,2011_tarov1601040123,2011_tarov1601494029,0.4188333749771118,8
2011,2011_tarov1601040123,2011_tarov1907016569,0.4125915765762329,9
2011,2011_tarov1601040123,2011_tarov1601251266,0.4117890000343323,10
2011,2011_tarov1601041054,2011_tarov1633060738,0.5205308198928833,1
2011,2011_tarov1601041054,2011_tarov1633047823,0.5063665509223938,2
2011,2011_tarov1601041054,2011_tarov1601329321,0.5049570202827454,3
2011,2011_tarov1601041054,2011_tarov1601317770,0.4989868998527527,4
2011,2011_tarov1601041054,2011_tarov1633030274,0.49217352271080017,5
2011,2011_tarov1601041054,2011_tarov1633053886,0.48374077677726746,6
2011,2011_tarov1601041054,2011_tarov1603054305,0.47773757576942444,7
2011,2011_tarov1601041054,2011_tarov1633044151,0.47427859902381897,8
2011,2011_tarov1601041054,2011_tarov1633039513,0.4589518904685974,9
2011,2011_tarov1601041054,2011_tarov1601279650,0.4572761356830597,10
2011,2011_tarov1601069743,2011_tarov1633031804,0.5243992209434509,1
2011,2011_tarov1601069743,2011_tarov1601292637,0.5104033946990967,2
2011,2011_tarov1601069743,2011_tarov1601279594,0.5089391469955444,3
2011,2011_tarov1601069743,2011_tarov1601170677,0.5010565519332886,4
2011,2011_tarov1601069743,2011_tarov1601329074,0.47306209802627563,5
2011,2011_tarov1601069743,2011_tarov1601325344,0.464521586894989,6
2011,2011_tarov1601069743,2011_tarov1601318356,0.4559464752674103,7
2011,2011_tarov1601069743,2011_tarov1601272904,0.439504474401474,8
2011,2011_tarov1601069743,2011_tarov1601288636,0.43695297837257385,9
2011,2011_tarov1601069743,2011_tarov1601305164,0.4356859028339386,10
2011,2011_tarov1601072430,2011_tarov1633030219,0.508181095123291,1
2011,2011_tarov1601072430,2011_tarov1601235801,0.4998924434185028,2
2011,2011_tarov1601072430,2011_tarov1633030086,0.48980990052223206,3
2011,2011_tarov1601072430,2011_tarov1601238415,0.46528637409210205,4
2011,2011_tarov1601072430,2011_tarov1601307121,0.4646991193294525,5
2011,2011_tarov1601072430,2011_tarov1601276924,0.462147980928421,6
2011,2011_tarov1601072430,2011_tarov1601271152,0.45460209250450134,7
2011,2011_tarov1601072430,2011_tarov1633019065,0.45342156291007996,8
2011,2011_tarov1601072430,2011_tarov1633052151,0.4526512324810028,9
2011,2011_tarov1601072430,2011_tarov1601308019,0.45139288902282715,10
2011,2011_tarov1601075552,2011_tarov1633052893,0.6709170937538147,1
2011,2011_tarov1601075552,2011_tarov1601322417,0.6627897024154663,2
2011,2011_tarov1601075552,2011_tarov1601320072,0.6551154255867004,3
2011,2011_tarov1601075552,2011_tarov1633051487,0.6539727449417114,4
2011,2011_tarov1601075552,2011_tarov1601325582,0.6489452719688416,5
2011,2011_tarov1601075552,2011_tarov1633033077,0.6407186388969421,6
2011,2011_tarov1601075552,2011_tarov1633024474,0.6288502216339111,7
2011,2011_tarov1601075552,2011_tarov1601258156,0.6240940093994141,8
2011,2011_tarov1601075552,2011_tarov1633043626,0.6172986030578613,9
2011,2011_tarov1601075552,2011_tarov1633058287,0.6006515622138977,10
2011,2011_tarov1601086047,2011_tarov1601284799,0.6609827280044556,1
2011,2011_tarov1601086047,2011_tarov1601295228,0.6476774215698242,2
2011,2011_tarov1601086047,2011_tarov1633045001,0.6375781893730164,3
2011,2011_tarov1601086047,2011_tarov1633035670,0.6323503255844116,4
2011,2011_tarov1601086047,2011_tarov1601264803,0.6302531957626343,5
2011,2011_tarov1601086047,2011_tarov1601327903,0.6002252697944641,6
2011,2011_tarov1601086047,2011_tarov1633025354,0.5927606225013733,7
2011,2011_tarov1601086047,2011_tarov1633039588,0.5839222073554993,8
2011,2011_tarov1601086047,2011_tarov1633039584,0.5697290897369385,9
2011,2011_tarov1601086047,2011_tarov1633058641,0.5412229299545288,10
2011,2011_tarov1601089988,2011_tarov1633034323,0.5331730246543884,1
2011,2011_tarov1601089988,2011_tarov1633051529,0.5309997200965881,2
2011,2011_tarov1601089988,2011_tarov1633026831,0.5228748917579651,3
2011,2011_tarov1601089988,2011_tarov1601302612,0.521859347820282,4
2011,2011_tarov1601089988,2011_tarov1633046439,0.4912295341491699,5
2011,2011_tarov1601089988,2011_tarov1601166076,0.48289889097213745,6
2011,2011_tarov1601089988,2011_tarov1601285936,0.4756140410900116,7
2011,2011_tarov1601089988,2011_tarov1633039796,0.46782463788986206,8
2011,2011_tarov1601089988,2011_tarov1601284419,0.45551636815071106,9
2011,2011_tarov1601089988,2011_tarov1633026183,0.45316430926322937,10
2011,2011_tarov1601100024,2011_tarov1601265670,0.5294222235679626,1
2011,2011_tarov1601100024,2011_tarov1601317131,0.493200421333313,2
2011,2011_tarov1601100024,2011_tarov1601266943,0.4904978275299072,3
2011,2011_tarov1601100024,2011_tarov1633072115,0.47830599546432495,4
2011,2011_tarov1601100024,2011_tarov1601313111,0.4668237566947937,5
2011,2011_tarov1601100024,2011_tarov1601280864,0.463503360748291,6
2011,2011_tarov1601100024,2011_tarov1601376494,0.4581334590911865,7
2011,2011_tarov1601100024,2011_tarov1601264293,0.45647987723350525,8
2011,2011_tarov1601100024,2011_tarov1601259440,0.45508021116256714,9
2011,2011_tarov1601100024,2011_tarov1907016569,0.45399975776672363,10
2011,2011_tarov1601105169,2011_tarov1633055343,0.6525266766548157,1
2011,2011_tarov1601105169,2011_tarov1601275420,0.5950748920440674,2
2011,2011_tarov1601105169,2011_tarov1633051207,0.534043550491333,3
2011,2011_tarov1601105169,2011_tarov1601284029,0.5258646607398987,4
2011,2011_tarov1601105169,2011_tarov1633057779,0.5168284773826599,5
2011,2011_tarov1601105169,2011_tarov1601297241,0.5123863220214844,6
2011,2011_tarov1601105169,2011_tarov1601309291,0.4996447265148163,7
2011,2011_tarov1601105169,2011_tarov1601033210,0.49918296933174133,8
2011,2011_tarov1601105169,2011_tarov1601280254,0.49847206473350525,9
2011,2011_tarov1601105169,2011_tarov1601262260,0.49158793687820435,10
2011,2011_tarov1601143267,2011_tarov1601185542,0.4943157434463501,1
2011,2011_tarov1601143267,2011_tarov1601448591,0.48735594749450684,2
2011,2011_tarov1601143267,2011_tarov1601317401,0.4766843318939209,3
2011,2011_tarov1601143267,2011_tarov1601297241,0.45497769117355347,4
2011,2011_tarov1601143267,2011_tarov1633049400,0.45020896196365356,5
